9.1	τὸν δʼ ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς·
9.2	Ἀλκίνοε κρεῖον, πάντων ἀριδείκετε λαῶν,
9.3	ἦ τοι μὲν τόδε καλὸν ἀκουέμεν ἐστὶν ἀοιδοῦ
9.4	τοιοῦδʼ οἷος ὅδʼ ἐστί, θεοῖς ἐναλίγκιος αὐδήν.
9.5	οὐ γὰρ ἐγώ γέ τί φημι τέλος χαριέστερον εἶναι
9.6	ἢ ὅτʼ ἐυφροσύνη μὲν ἔχῃ κάτα δῆμον ἅπαντα,
9.7	δαιτυμόνες δʼ ἀνὰ δώματʼ ἀκουάζωνται ἀοιδοῦ
9.8	ἥμενοι ἑξείης, παρὰ δὲ πλήθωσι τράπεζαι
9.9	σίτου καὶ κρειῶν, μέθυ δʼ ἐκ κρητῆρος ἀφύσσων
9.10	οἰνοχόος φορέῃσι καὶ ἐγχείῃ δεπάεσσι·
9.11	τοῦτό τί μοι κάλλιστον ἐνὶ φρεσὶν εἴδεται εἶναι.
9.12	σοὶ δʼ ἐμὰ κήδεα θυμὸς ἐπετράπετο στονόεντα
9.13	εἴρεσθʼ, ὄφρʼ ἔτι μᾶλλον ὀδυρόμενος στεναχίζω·
9.14	τί πρῶτόν τοι ἔπειτα, τί δʼ ὑστάτιον καταλέξω;
9.15	κήδεʼ ἐπεί μοι πολλὰ δόσαν θεοὶ Οὐρανίωνες.
9.16	νῦν δʼ ὄνομα πρῶτον μυθήσομαι, ὄφρα καὶ ὑμεῖς
9.17	εἴδετʼ, ἐγὼ δʼ ἂν ἔπειτα φυγὼν ὕπο νηλεὲς ἦμαρ
9.18	ὑμῖν ξεῖνος ἔω καὶ ἀπόπροθι δώματα ναίων.
9.19	εἴμʼ Ὀδυσεὺς Λαερτιάδης, ὃς πᾶσι δόλοισιν
9.20	ἀνθρώποισι μέλω, καί μευ κλέος οὐρανὸν ἵκει.
9.21	ναιετάω δʼ Ἰθάκην ἐυδείελον· ἐν δʼ ὄρος αὐτῇ
9.22	Νήριτον εἰνοσίφυλλον, ἀριπρεπές· ἀμφὶ δὲ νῆσοι
9.23	πολλαὶ ναιετάουσι μάλα σχεδὸν ἀλλήλῃσι,
9.24	Δουλίχιόν τε Σάμη τε καὶ ὑλήεσσα Ζάκυνθος.
9.25	αὐτὴ δὲ χθαμαλὴ πανυπερτάτη εἰν ἁλὶ κεῖται
9.26	πρὸς ζόφον, αἱ δέ τʼ ἄνευθε πρὸς ἠῶ τʼ ἠέλιόν τε,
9.27	τρηχεῖʼ, ἀλλʼ ἀγαθὴ κουροτρόφος· οὔ τοι ἐγώ γε
9.28	ἧς γαίης δύναμαι γλυκερώτερον ἄλλο ἰδέσθαι.
9.29	ἦ μέν μʼ αὐτόθʼ ἔρυκε Καλυψώ, δῖα θεάων,
9.30	ἐν σπέσσι γλαφυροῖσι, λιλαιομένη πόσιν εἶναι·
9.31	ὣς δʼ αὔτως Κίρκη κατερήτυεν ἐν μεγάροισιν
9.32	Αἰαίη δολόεσσα, λιλαιομένη πόσιν εἶναι·
9.33	ἀλλʼ ἐμὸν οὔ ποτε θυμὸν ἐνὶ στήθεσσιν ἔπειθον.
9.34	ὣς οὐδὲν γλύκιον ἧς πατρίδος οὐδὲ τοκήων
9.35	γίγνεται, εἴ περ καί τις ἀπόπροθι πίονα οἶκον
9.36	γαίῃ ἐν ἀλλοδαπῇ ναίει ἀπάνευθε τοκήων.
9.37	εἰ δʼ ἄγε τοι καὶ νόστον ἐμὸν πολυκηδέʼ ἐνίσπω,
