segment_id	book	start_line	end_line	greek_chars_no_space	flags	source_patch_ids	status
ODY-B01-S01	1	1	177	6607	NARRATIVE|SPEECH		SOURCE_READY
ODY-B01-S02	1	178	345	6232	NARRATIVE|SPEECH		SOURCE_READY
ODY-B01-S03	1	346	444	3687	NARRATIVE|SPEECH		SOURCE_READY
ODY-B02-S01	2	1	176	6613	NARRATIVE|SPEECH		SOURCE_READY
ODY-B02-S02	2	177	348	6402	NARRATIVE|SPEECH		SOURCE_READY
ODY-B02-S03	2	349	434	3199	NARRATIVE|SPEECH		SOURCE_READY
ODY-B03-S01	3	1	183	6854	NARRATIVE|SPEECH		SOURCE_READY
ODY-B03-S02	3	184	355	6392	NARRATIVE|SPEECH	PATCH-OD03-304-305-ORDER	SOURCE_READY
ODY-B03-S03	3	356	497	5367	NARRATIVE|SPEECH		SOURCE_READY
ODY-B04-S01	4	1	168	6236	NARRATIVE|SPEECH		SOURCE_READY
ODY-B04-S02	4	169	350	6795	NARRATIVE|SPEECH		SOURCE_READY
ODY-B04-S03	4	351	537	7025	SPEECH		SOURCE_READY
ODY-B04-S04	4	538	706	6304	NARRATIVE|SPEECH		SOURCE_READY
ODY-B04-S05	4	707	847	5204	NARRATIVE|SPEECH		SOURCE_READY
ODY-B05-S01	5	1	170	6250	NARRATIVE|SPEECH		SOURCE_READY
ODY-B05-S02	5	171	338	6242	NARRATIVE|SPEECH		SOURCE_READY
ODY-B05-S03	5	339	493	5797	NARRATIVE|SPEECH		SOURCE_READY
ODY-B06-S01	6	1	185	6878	NARRATIVE|SPEECH		SOURCE_READY
ODY-B06-S02	6	186	331	5478	NARRATIVE|SPEECH		SOURCE_READY
ODY-B07-S01	7	1	178	6567	NARRATIVE|SPEECH		SOURCE_READY
ODY-B07-S02	7	179	347	6345	NARRATIVE|SPEECH		SOURCE_READY
ODY-B08-S01	8	1	185	6952	NARRATIVE|SPEECH		SOURCE_READY
ODY-B08-S02	8	186	353	6258	NARRATIVE|SPEECH		SOURCE_READY
ODY-B08-S03	8	354	586	8652	NARRATIVE|SPEECH		SOURCE_READY
ODY-B09-S01	9	1	171	6409	NARRATIVE|SPEECH		SOURCE_READY
ODY-B09-S02	9	172	346	6524	SPEECH		SOURCE_READY
ODY-B09-S03	9	347	566	8228	SPEECH		SOURCE_READY
ODY-B10-S01	10	1	173	6488	SPEECH		SOURCE_READY
ODY-B10-S02	10	174	344	6374	SPEECH		SOURCE_READY
ODY-B10-S03	10	345	574	8589	SPEECH	PATCH-OD10-456	SOURCE_READY
ODY-B11-S01	11	1	179	6586	SPEECH		SOURCE_READY
ODY-B11-S02	11	180	353	6370	NARRATIVE|SPEECH		SOURCE_READY
