segment_id	source_path	en_stage	ja_stage	zh_hant_tw_stage
ODY-B01-S01	source/segments/ODY-B01-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B01-S02	source/segments/ODY-B01-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B01-S03	source/segments/ODY-B01-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B02-S01	source/segments/ODY-B02-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B02-S02	source/segments/ODY-B02-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B02-S03	source/segments/ODY-B02-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B03-S01	source/segments/ODY-B03-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B03-S02	source/segments/ODY-B03-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B03-S03	source/segments/ODY-B03-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B04-S01	source/segments/ODY-B04-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B04-S02	source/segments/ODY-B04-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B04-S03	source/segments/ODY-B04-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B04-S04	source/segments/ODY-B04-S04_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B04-S05	source/segments/ODY-B04-S05_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B05-S01	source/segments/ODY-B05-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B05-S02	source/segments/ODY-B05-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B05-S03	source/segments/ODY-B05-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B06-S01	source/segments/ODY-B06-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B06-S02	source/segments/ODY-B06-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B07-S01	source/segments/ODY-B07-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B07-S02	source/segments/ODY-B07-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B08-S01	source/segments/ODY-B08-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B08-S02	source/segments/ODY-B08-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B08-S03	source/segments/ODY-B08-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B09-S01	source/segments/ODY-B09-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B09-S02	source/segments/ODY-B09-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
