book	original_chars	revised_chars	original_lines	revised_lines	changed_line_span	similarity	segments
1	7637	7359	135	135	56	0.585185	3
2	7504	7349	133	133	49	0.631579	3
3	8421	8224	131	131	48	0.633588	3
4	14074	13837	275	275	81	0.705455	5
5	7795	7607	137	137	49	0.642336	3
6	5473	5387	81	81	24	0.703704	2
7	5595	5483	107	107	37	0.654206	2
8	9863	9687	209	209	54	0.741627	3
9	8963	8897	183	183	33	0.819672	3
10	9186	9072	195	195	52	0.733333	3
11	10846	10716	213	213	50	0.765258	4
12	7233	7166	127	127	34	0.732283	3
13	7206	7057	145	145	49	0.662069	3
14	8754	8669	147	147	40	0.727891	3
15	9429	9276	213	213	52	0.755869	3
16	7956	7775	177	177	53	0.700565	3
17	10260	10053	255	255	68	0.733333	4
18	7340	7209	171	171	42	0.754386	3
19	10096	9883	223	223	69	0.690583	3
20	6560	6442	161	161	41	0.745342	2
21	7254	7117	155	155	40	0.741935	3
22	8273	8052	203	203	61	0.699507	3
23	6033	5819	127	127	53	0.582677	2
24	9216	9067	213	213	60	0.718310	3
